t	y
0	0.906118548
0.01	1.148916436
0.02	1.315797752
0.03	1.455330858
0.04	1.679825997
0.05	1.730499289
0.06	1.767766824
0.07	1.811178965
0.08	1.819402164
0.09	1.664319487
0.1	1.567912671
0.11	1.480254957
0.12	1.272337927
0.13	1.02025434
0.14	0.830824161
0.15	0.526462641
0.16	0.25485386
0.17	-0.013682897
0.18	-0.242859445
0.19	-0.543601427
0.2	-0.818437867
0.21	-1.014266016
0.22	-1.253393317
0.23	-1.395910634
0.24	-1.533105362
0.25	-1.592744596
0.26	-1.723905443
0.27	-1.699139448
0.28	-1.700264976
0.29	-1.604692464
0.3	-1.43973304
0.31	-1.336896025
0.32	-1.175086089
0.33	-0.925151229
0.34	-0.722657705
0.35	-0.485747888
0.36	-0.137108716
0.37	0.120838326
0.38	0.42293412
0.39	0.677481347
0.4	0.905650378
0.41	1.071318909
0.42	1.289020969
0.43	1.49261313
0.44	1.637828452
0.45	1.757905863
0.46	1.770707998
0.47	1.788320637
0.48	1.727574745
0.49	1.660879205
0.5	1.549023691
0.51	1.439569869
0.52	1.224602732
0.53	1.011326007
0.54	0.757034163
0.55	0.54810961
0.56	0.26847917
0.57	-0.036055033
0.58	-0.278296425
0.59	-0.547911112
0.6	-0.752522314
0.61	-1.022301937
0.62	-1.182431293
0.63	-1.375631652
0.64	-1.500772179
0.65	-1.642241641
0.66	-1.705397252
0.67	-1.703409906
0.68	-1.667620567
0.69	-1.558302614
0.7	-1.446103864
0.71	-1.344583983
0.72	-1.130097145
0.73	-0.954347867
0.74	-0.727569206
0.75	-0.413782671
0.76	-0.22220749
0.77	0.148822172
0.78	0.357883796
0.79	0.669049273
0.8	0.84247204
0.81	1.102923467
0.82	1.277192466
0.83	1.479655409
0.84	1.669578614
0.85	1.765786231
0.86	1.807726316
0.87	1.844775424
0.88	1.729807714
0.89	1.660216008
0.9	1.539066727
0.91	1.412020144
0.92	1.245391707
0.93	1.065472939
0.94	0.76834587
0.95	0.508880957
0.96	0.277081778
0.97	-0.022150995
0.98	-0.241198993
0.99	-0.542969409
