Time	Voltage	Temp [C]
0	1.67	25.34
1	1.67	25.39
2	1.67	25.59
3	1.67	25.93
4	1.67	26.32
5	1.67	26.77
6	1.67	27.26
7	1.67	27.8
8	1.67	28.29
9	1.67	28.83
10	1.67	29.32
11	1.67	29.86
12	1.67	30.35
13	1.67	30.79
14	1.67	31.28
15	1.67	31.72
16	1.67	32.16
17	1.67	32.61
18	1.67	33
19	1.67	33.39
20	1.67	33.78
21	1.67	34.13
22	1.67	34.47
23	1.67	34.81
24	1.67	35.16
25	1.67	35.45
26	1.67	35.75
27	1.67	36.04
28	1.67	36.34
29	1.67	36.63
30	1.67	36.83
31	1.67	37.12
32	1.67	37.32
33	1.67	37.56
34	1.67	37.81
35	1.67	38
36	1.67	38.2
37	1.67	38.45
38	1.67	38.59
39	1.67	38.79
40	1.67	38.99
41	1.67	39.13
42	1.67	39.33
43	1.67	39.48
44	1.67	39.67
45	1.67	39.82
46	1.67	39.92
47	1.67	40.07
48	1.67	40.21
49	1.67	40.36
50	1.67	40.51
51	1.67	40.65
52	1.67	40.75
53	1.67	40.85
54	1.67	41
55	1.67	41.1
56	1.67	41.24
57	1.67	41.34
58	1.67	41.44
59	1.67	41.54
60	1.67	41.64
61	1.67	41.73
62	1.67	41.83
63	1.67	41.88
64	1.67	41.98
65	1.67	42.08
66	1.67	42.18
67	1.67	42.22
68	1.67	42.32
69	1.67	42.42
70	1.67	42.47
71	1.67	42.57
72	1.67	42.62
73	1.67	42.72
74	1.67	42.76
75	1.67	42.81
76	1.67	42.91
77	1.67	42.96
78	1.67	43.06
79	1.67	43.11
80	1.67	43.16
81	1.67	43.21
82	1.67	43.25
83	1.67	43.35
84	1.67	43.35
85	1.67	43.45
86	1.67	43.5
87	1.67	43.55
88	1.67	43.6
89	1.67	43.65
90	1.67	43.7
91	1.67	43.75
92	1.67	43.79
93	1.67	43.84
94	1.67	43.84
95	1.67	43.94
96	1.67	43.99
97	1.67	43.99
98	1.67	44.04
99	1.67	44.09
100	1.67	44.14
101	1.67	44.19
102	1.67	44.19
103	1.67	44.29
104	1.67	44.29
105	1.67	44.29
106	1.67	44.33
107	1.67	44.38
108	1.67	44.38
109	1.67	44.48
110	1.67	44.48
111	1.67	44.53
112	1.67	44.53
113	1.67	44.58
114	1.67	44.58
115	1.67	44.63
116	1.67	44.63
117	1.67	44.68
118	1.67	44.73
119	1.67	44.73
120	1.67	44.78
121	1.67	44.83
122	1.67	44.83
123	1.67	44.83
124	1.67	44.87
125	1.67	44.92
126	1.67	44.92
127	1.67	44.97
128	1.67	45.02
129	1.67	45.02
130	1.67	45.02
131	1.67	45.07
132	1.67	45.07
133	1.67	45.12
134	1.67	45.17
135	1.67	45.17
