Time (sec)	Voltage (V)	Temp [C]
0	1.08	25.34
1	1.08	25.39
2	1.08	25.54
3	1.08	25.74
4	1.08	25.98
5	1.08	26.28
6	1.08	26.62
7	1.08	26.96
8	1.08	27.31
9	1.08	27.65
10	1.08	27.99
11	1.08	28.39
12	1.08	28.73
13	1.08	29.07
14	1.08	29.42
15	1.08	29.71
16	1.08	30.05
17	1.08	30.35
18	1.08	30.64
19	1.08	30.94
20	1.08	31.23
21	1.08	31.53
22	1.08	31.77
23	1.08	32.07
24	1.08	32.31
25	1.08	32.56
26	1.08	32.8
27	1.08	33
28	1.08	33.24
29	1.08	33.44
30	1.08	33.69
31	1.08	33.88
32	1.08	34.08
33	1.08	34.27
34	1.08	34.47
35	1.08	34.67
36	1.08	34.86
37	1.08	35.01
38	1.08	35.21
39	1.08	35.35
40	1.08	35.55
41	1.08	35.7
42	1.08	35.84
43	1.08	35.99
44	1.08	36.14
45	1.08	36.29
46	1.08	36.43
47	1.08	36.58
48	1.08	36.73
49	1.08	36.83
50	1.08	36.97
51	1.08	37.07
52	1.08	37.22
53	1.08	37.32
54	1.08	37.46
55	1.08	37.56
56	1.08	37.66
57	1.08	37.76
58	1.08	37.91
59	1.08	38
60	1.08	38.1
61	1.08	38.2
62	1.08	38.3
63	1.08	38.4
64	1.08	38.49
65	1.08	38.59
66	1.08	38.64
67	1.08	38.74
68	1.08	38.84
69	1.08	38.94
70	1.08	38.99
71	1.08	39.08
72	1.08	39.18
73	1.08	39.28
74	1.08	39.33
75	1.08	39.43
76	1.08	39.48
77	1.08	39.53
78	1.08	39.62
79	1.08	39.67
80	1.08	39.72
81	1.08	39.82
82	1.08	39.87
83	1.08	39.92
84	1.08	39.97
85	1.08	40.07
86	1.08	40.11
87	1.08	40.16
88	1.08	40.26
89	1.08	40.31
90	1.08	40.31
91	1.08	40.41
92	1.08	40.46
93	1.08	40.51
94	1.08	40.56
95	1.08	40.65
96	1.08	40.7
97	1.08	40.7
98	1.08	40.75
99	1.08	40.8
100	1.08	40.85
101	1.08	40.9
102	1.08	40.95
103	1.08	40.95
104	1.08	41
105	1.08	41.1
106	1.08	41.1
107	1.08	41.14
108	1.08	41.19
109	1.08	41.19
110	1.08	41.24
111	1.08	41.34
112	1.08	41.34
113	1.08	41.39
114	1.08	41.44
115	1.08	41.44
116	1.08	41.49
117	1.08	41.54
118	1.08	41.54
119	1.08	41.59
120	1.08	41.64
121	1.08	41.64
122	1.08	41.68
123	1.08	41.73
124	1.08	41.73
125	1.08	41.78
126	1.08	41.78
127	1.08	41.88
128	1.08	41.88
129	1.08	41.93
130	1.08	41.98
131	1.08	41.98
132	1.08	42.03
133	1.08	42.08
134	1.08	42.08
135	1.08	42.13
136	1.08	42.13
137	1.08	42.18
138	1.08	42.22
139	1.08	42.22
140	1.08	42.22
141	1.08	42.27
142	1.08	42.32
143	1.08	42.32
144	1.08	42.37
145	1.08	42.32
146	1.08	42.42
147	1.08	42.42
148	1.08	42.47
149	1.08	42.47
150	1.08	42.52
151	1.08	42.52
152	1.08	42.52
153	1.08	42.57
154	1.08	42.57
155	1.08	42.57
156	1.08	42.62
157	1.08	42.62
158	1.08	42.67
159	1.08	42.67
160	1.08	42.72
161	1.08	42.72
162	1.08	42.72
163	1.08	42.76
164	1.08	42.76
165	1.08	42.81
166	1.08	42.81
167	1.08	42.81
168	1.08	42.81
169	1.08	42.86
170	1.08	42.86
171	1.08	42.86
172	1.08	42.91
173	1.08	42.91
174	1.08	42.91
175	1.08	42.96
176	1.08	42.96
177	1.08	42.96
178	1.08	43.01
179	1.08	43.01
180	1.08	43.01
181	1.08	43.01
182	1.08	43.06
183	1.08	43.06
184	1.08	43.06
185	1.08	43.06
186	1.08	43.11
187	1.08	43.11
188	1.08	43.16
189	1.08	43.16
190	1.08	43.16
191	1.08	43.16
192	1.08	43.16
193	1.08	43.21
194	1.08	43.25
195	1.08	43.25
196	1.08	43.25
197	1.08	43.3
198	1.08	43.3
199	1.08	43.3
200	1.08	43.35
201	1.08	43.35
202	1.08	43.35
203	1.08	43.35
204	1.08	43.4
205	1.08	43.4
206	1.08	43.45
207	1.08	43.4
208	1.08	43.45
209	1.08	43.4
210	1.08	43.45
211	1.08	43.5
212	1.08	43.5
213	1.08	43.5
214	1.08	43.5
215	1.08	43.5
216	1.08	43.55
217	1.08	43.55
218	1.08	43.55
219	1.08	43.6
220	1.08	43.6
221	1.08	43.6
222	1.08	43.6
223	1.08	43.65
224	1.08	43.65
225	1.08	43.65
226	1.08	43.65
227	1.08	43.7
228	1.08	43.7
229	1.08	43.7
230	1.08	43.7
231	1.08	43.75
232	1.08	43.75
233	1.08	43.75
234	1.08	43.75
235	1.08	43.79
236	1.08	43.75
237	1.08	43.79
238	1.08	43.79
239	1.08	43.79
240	1.08	43.84
241	1.08	43.84
242	1.08	43.84
243	1.08	43.84
244	1.08	43.84
245	1.08	43.84
246	1.08	43.84
247	1.08	43.89
248	1.08	43.89
249	1.08	43.89
250	1.08	43.89
251	1.08	43.89
252	1.08	43.94
253	1.08	43.94
254	1.08	43.94
255	1.08	43.94
256	1.08	43.94
257	1.08	43.94
258	1.08	43.94
259	1.08	43.99
260	1.08	43.99
261	1.08	43.99
262	1.08	43.99
263	1.08	43.99
264	1.08	43.99
265	1.08	43.99
266	1.08	44.04
267	1.08	44.04
268	1.08	44.04
269	1.08	44.04
270	1.08	44.04
271	1.08	44.04
272	1.08	44.09
273	1.08	44.09
274	1.08	44.09
275	1.08	44.09
276	1.08	44.09
277	1.08	44.14
278	1.08	44.09
279	1.08	44.14
280	1.08	44.14
281	1.08	44.14
282	1.08	44.14
283	1.08	44.19
284	1.08	44.14
285	1.08	44.19
286	1.08	44.14
287	1.08	44.19
288	1.08	44.19
289	1.08	44.19
290	1.08	44.19
291	1.08	44.19
292	1.08	44.19
293	1.08	44.19
294	1.08	44.19
295	1.08	44.19
296	1.08	44.19
297	1.08	44.19
298	1.08	44.19
299	1.08	44.19
